profundo2: 13            (V: 1 L: 12)
hilum: 13                (V: 0 L: 13)
reliquiae: 12            (V: 9 L: 3)
profundus: 12            (V: 5 L: 7)
notusN: 12               (V: 12 L: 0)
accingo: 12              (V: 11 L: 1)
immotus: 12              (V: 12 L: 0)
spumans: 12              (V: 12 L: 0)
germana: 12              (V: 12 L: 0)
recludo: 12              (V: 10 L: 2)
exanimus: 12             (V: 7 L: 5)
hesperiaN: 12            (V: 12 L: 0)
sacro: 12                (V: 12 L: 0)
idaeusA: 12              (V: 12 L: 0)
minae: 12                (V: 9 L: 3)
exterreo: 12             (V: 11 L: 1)
globus: 12               (V: 6 L: 6)
excio: 12                (V: 8 L: 4)
dego: 12                 (V: 1 L: 11)
alcidesN: 12             (V: 12 L: 0)
corporeus: 12            (V: 1 L: 11)
faunusN: 12              (V: 11 L: 1)
dubium: 12               (V: 1 L: 11)
arcadesN: 12             (V: 12 L: 0)
positura: 12             (V: 0 L: 12)
natiuus: 12              (V: 0 L: 12)
percio: 12               (V: 0 L: 12)
inceptum: 11             (V: 9 L: 2)
procella: 11             (V: 5 L: 6)
polus: 11                (V: 10 L: 1)
sonans: 11               (V: 9 L: 2)
gyasN: 11                (V: 11 L: 0)
proficiscor: 11          (V: 7 L: 4)
excedo1: 11              (V: 11 L: 0)
augurium: 11             (V: 11 L: 0)
laetitia: 11             (V: 8 L: 3)
fretum: 11               (V: 8 L: 3)
sopio: 11                (V: 5 L: 6)
cauerna: 11              (V: 5 L: 6)
argolicusN: 11           (V: 11 L: 0)
infensus: 11             (V: 11 L: 0)
reposco: 11              (V: 8 L: 3)
consequor: 11            (V: 6 L: 5)
mei: 11                  (V: 11 L: 0)
demo: 11                 (V: 3 L: 8)
helenusN: 11             (V: 11 L: 0)
patens: 11               (V: 4 L: 7)
fundo1: 11               (V: 6 L: 5)
memmiusN: 11             (V: 1 L: 10)
lauiniaN: 11             (V: 11 L: 0)
connecto: 11             (V: 1 L: 10)
tarchonN: 11             (V: 11 L: 0)
materN: 11               (V: 2 L: 9)
generatim: 11            (V: 0 L: 11)
commuto2: 11             (V: 0 L: 11)
prorsum: 11              (V: 0 L: 11)
arceo: 10                (V: 9 L: 1)
pallas         1N: 10    (V: 10 L: 0)
exuro: 10                (V: 8 L: 2)
concilio: 10             (V: 2 L: 8)
inueho: 10               (V: 9 L: 1)
insula: 10               (V: 8 L: 2)
celero: 10               (V: 8 L: 2)
stratum: 10              (V: 7 L: 3)
sidoniusA: 10            (V: 10 L: 0)
sergestusN: 10           (V: 10 L: 0)
eryxN: 10                (V: 10 L: 0)
emico: 10                (V: 8 L: 2)
sanguineus: 10           (V: 10 L: 0)
labo: 10                 (V: 7 L: 3)
stabulum: 10             (V: 9 L: 1)
creusaN: 10              (V: 10 L: 0)
saltus1: 10              (V: 8 L: 2)
idaN: 10                 (V: 10 L: 0)
miserandus: 10           (V: 9 L: 1)
dissilio: 10             (V: 2 L: 8)
iuxta2: 10               (V: 10 L: 0)
adigo: 10                (V: 8 L: 2)
innecto: 10              (V: 10 L: 0)
nouo: 10                 (V: 6 L: 4)
